style,color,sizes,image file
#D1503W,A.GRN,#14W-26W,D1503 Apple Green_back_wm.jpg
#D1503W,PURPLE,#14W-26W,D1503 Purple_wm.jpg
#D1503W,WHT,#14W-26W,D1503 White_dress_wm.jpg
#D1504,CHAM,#8-18,D1504 Champagne_1_wm.jpg
#D1504,PINK,#8-18,D1504 Pink_back_wm.jpg
#D1504W,CHAM,#14W-26W,D1504 Champagne_1_wm.jpg
#D1504W,PINK,#14W-26W,D1504 Pink_back_wm.jpg
#D1504W,WHT,#14W-26W,D1504 White_wm.jpg
#D1505,OLIVE,#8-18,D1505 Olive_back_wm.jpg
#D1505W,OLIVE,#14W-24W,D1505 Olive_back_wm.jpg
#D1506,OLIVE,#10-18,D1506 Olive_back_wm.jpg
#D1506W,OLIVE,#14W-24W,D1506 Olive_back_wm.jpg
#D1507,WHT,#10-18,D1507 White_back_wm.jpg
#D1507W,WHT,#14W-24W,D1507 White_back_wm.jpg
#D5005,CHAM,#10-20,D5005 champagne_wm.jpg
#D7208,RED,#10-18,D7208 Red_wm.jpg
#G0842,WHT/TURQ,#8-18,G0842 White-turq_back_wm.jpg
#G0842W,WHT/TURQ,#14W-26W,G0842 White-turq_back_wm.jpg
#G0844,CHAM,#8-18,G0844 Champ_wm.jpg
#G0844,GLD/BLK,#10-18,G0844 Gold-blk_back_wm.jpg
#G0844,IVY,#8-18,G0844 Ivory_wm.jpg
#G0844,SIL,#8-18,G0844 Silver_1_wm.jpg
